figure,analysis_cohort,cohort_label,force_g,group,group_label,pooling_method,n_observations,n_subjects,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd,row_type,comparison,test,reference,test_group,shown_on_figure,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.400000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",30.000000,15.000000,58.742560,62.500000,67.641369,8.898810,52.946429,76.785714,62.559524,9.024705,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.400000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",30.000000,15.000000,38.125000,44.419643,49.627976,11.502976,34.642857,65.178571,44.682540,11.427217,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.600000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",30.000000,15.000000,70.959821,75.014881,85.416667,14.456845,52.857143,95.000000,77.141865,10.769716,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.600000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",30.000000,15.000000,50.156250,59.851190,64.226190,14.069940,39.375000,80.357143,56.488095,14.764435,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.000000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.000000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.160000,On-nail,On-nail (C+D),trial-pooled subject means (1 value/subject/group),30.000000,30.000000,22.511161,33.816964,41.808036,19.296875,0.000000,61.830357,32.341766,16.935459,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.160000,Off-nail,Off-nail (A+F),trial-pooled subject means (1 value/subject/group),30.000000,30.000000,8.091518,15.982143,24.754464,16.662946,0.000000,40.967262,18.482143,12.352884,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.400000,On-nail,On-nail (C+D),trial-pooled subject means (1 value/subject/group),0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.400000,Off-nail,Off-nail (A+F),trial-pooled subject means (1 value/subject/group),0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
