Region,Force,Trial,Frame,Deformation radius (mm),Penetration depth (mm),Max compressive strain (%)
Region CD,0.4,3,22,0.999563146,0.063058765,5.06444513
Region CD,0.6,1,11,1.020864225,0.060943774,5.159137521
Region CD,0.6,1,12,1.066075419,0.067282157,5.063363202
Region CD,0.6,1,13,1.048731031,0.070134791,5.702505968
Region CD,0.6,1,14,1.041584665,0.068211401,5.659667321
Region CD,0.6,1,15,1.078169921,0.074517206,5.67719529
Region CD,0.6,1,16,1.085312556,0.07693371,6.001030115
Region CD,0.6,1,17,1.103057055,0.074037387,5.983465063
Region CD,0.6,1,18,1.080077144,0.075811649,6.331495775
Region CD,0.6,1,19,1.092563174,0.074388747,5.422722787
Region CD,0.6,1,20,1.071477705,0.075010754,6.013314582
Region CD,0.6,1,21,1.069773012,0.075872075,6.358889084
Region CD,0.6,1,22,1.102338039,0.074247272,5.403077877
Region CD,0.6,2,11,0.975872718,0.071029214,5.923292718
Region CD,0.6,2,12,0.991022555,0.072257698,6.631693087
Region CD,0.6,2,13,0.982958233,0.075239056,5.944906514
Region CD,0.6,2,14,0.976836494,0.073756684,5.875657164
Region CD,0.6,2,15,0.988881695,0.070874997,6.585589206
Region CD,0.6,2,16,1.127975601,0.072797721,5.577267676
Region CD,0.6,2,17,0.995864855,0.073333782,5.803604803
Region CD,0.6,2,18,1.040052782,0.073522078,6.057855919
Region CD,0.6,2,19,0.997052633,0.082262924,6.287492702
Region CD,0.6,2,20,0.98059254,0.080536904,6.530538507
Region CD,0.6,2,21,0.982812791,0.077890586,6.190009983
Region CD,0.6,2,22,1.140849796,0.077248371,5.857712386
Region CD,0.6,3,11,0.979221252,0.071479598,5.011238937
Region CD,0.6,3,12,0.983843898,0.074677588,5.609641655
Region CD,0.6,3,13,0.986052143,0.08086262,6.45634986
Region CD,0.6,3,14,0.973582538,0.081369496,7.60043247
Region CD,0.6,3,15,0.982198653,0.077273044,6.013755056
Region CD,0.6,3,16,0.992247547,0.078039632,5.703443971
Region CD,0.6,3,17,0.987388735,0.085090002,6.678373233
Region CD,0.6,3,18,0.9883214,0.082818922,6.600324543
Region CD,0.6,3,19,0.987722621,0.081486993,6.661973508
Region CD,0.6,3,20,0.995279871,0.084728428,6.578141671
Region CD,0.6,3,21,0.993213477,0.087034723,6.496587998
Region CD,0.6,3,22,0.991395776,0.082812956,6.395751791
Region CD,1,1,11,1.147546687,0.111108436,10.48472221
Region CD,1,1,12,1.14940995,0.110147288,9.058327193
Region CD,1,1,13,1.149097405,0.109648863,9.734961129
Region CD,1,1,14,1.089482485,0.107475835,10.65726885
Region CD,1,1,15,1.290569244,0.112359997,9.531785791
Region CD,1,1,16,1.385542247,0.113701323,9.183386101
Region CD,1,1,17,1.271766695,0.109086189,8.982854687
Region CD,1,1,18,1.392121815,0.114219028,9.377132081
Region CD,1,1,19,1.419523983,0.119677706,9.525769145
Region CD,1,1,20,1.279041618,0.113781,10.13070202
Region CD,1,1,21,1.338308911,0.110963856,9.739045445
Region CD,1,1,22,1.574903604,0.117250417,9.197265456
Region CD,1,2,11,0.997812738,0.075497158,9.258491826
Region CD,1,2,12,1.031603804,0.073843519,9.044412147
Region CD,1,2,13,1.047039519,0.077173414,9.435514791
Region CD,1,2,14,1.040523935,0.082766084,9.528440917
Region CD,1,2,15,1.036321114,0.080858512,9.724077057
Region CD,1,2,16,1.037847726,0.080345852,9.93242265
Region CD,1,2,17,1.087379977,0.080234886,9.408031681
Region CD,1,2,18,1.037250139,0.079581067,9.305823563
Region CD,1,2,19,1.039783643,0.079578629,9.394232084
Region CD,1,2,20,1.039277811,0.079612195,9.818873531
Region CD,1,2,21,1.035435689,0.080194955,9.850389958
Region CD,1,2,22,1.042287834,0.084467305,9.931321439
Region CD,1,3,11,1.155589954,0.078440815,8.216683134
Region CD,1,3,12,1.253917854,0.083537186,7.861470099
Region CD,1,3,14,1.185842663,0.083825632,8.399685314
Region CD,1,3,15,1.189332421,0.09330708,9.703673559
Region CD,1,3,16,1.165055124,0.083939029,9.157109258
Region CD,1,3,17,1.248228778,0.090870803,9.155277766
Region CD,1,3,18,1.176891898,0.089034705,8.797660469
Region CD,1,3,19,1.177112067,0.086253438,8.482694222
Region CD,1,3,20,1.252861084,0.086991018,8.451515831
Region CD,1,3,21,1.133602465,0.087916346,9.091763546
Region CD,1,3,22,1.178180507,0.09432837,8.913163653
Glabrous,0.4,1,11,1.3,0.073139505,2.957548346
Glabrous,0.4,1,12,1.3,0.075379875,2.638961716
Glabrous,0.4,1,13,1.3,0.080419246,2.737291148
Glabrous,0.4,1,14,1.3,0.083773185,2.792258219
Glabrous,0.4,1,15,1.75,0.087648503,2.933855383
Glabrous,0.4,1,16,1.927057336,0.087504579,3.022712466
Glabrous,0.4,1,17,2.037594095,0.084948628,2.409670426
Glabrous,0.4,1,18,2.226110572,0.0872257,2.165842453
Glabrous,0.4,1,19,1.998674643,0.088504139,2.449105023
Glabrous,0.4,1,20,2.05,0.094684799,2.359607874
Glabrous,0.4,1,21,1.972512719,0.094363318,2.645657511
Glabrous,0.4,1,22,1.986739806,0.092844422,2.471727726
Glabrous,0.4,2,11,1.883732051,0.06091365,1.941019167
Glabrous,0.4,2,12,1.879080126,0.060297115,1.730203937
Glabrous,0.4,2,13,1.896730014,0.057991458,1.787424679
Glabrous,0.4,2,14,2.029635242,0.056724194,1.807710957
Glabrous,0.4,2,15,1.877364025,0.054238248,1.719141805
Glabrous,0.4,2,16,1.551109291,0.058741867,1.848514931
Glabrous,0.4,2,17,2.029249282,0.055236986,1.571337253
Glabrous,0.4,2,18,2.031186866,0.058922474,1.690279933
Glabrous,0.4,2,19,2.028980387,0.059628463,1.656177297
Glabrous,0.4,2,20,2.034025161,0.060038628,1.76934485
Glabrous,0.4,2,21,2.038254683,0.059357941,1.931200931
Glabrous,0.4,2,22,2.036261519,0.064062769,1.805052847
Glabrous,1,1,11,1.90471569,0.105273246,3.757792778
Glabrous,1,1,12,1.940582164,0.113015839,3.954867323
Glabrous,1,1,13,1.949320075,0.11536865,3.996214089
Glabrous,1,1,14,2.107851041,0.117714686,3.978439921
Glabrous,1,1,15,2.09531839,0.120572431,4.033936191
Glabrous,1,1,16,1.94817277,0.120974974,4.238135571
Glabrous,1,1,17,2.135255746,0.121731301,3.491392433
Glabrous,1,1,18,2.123673933,0.121048568,3.74498135
Glabrous,1,1,19,1.947203625,0.123534336,4.281755342
Glabrous,1,1,20,1.948115315,0.12564027,3.815329974
Glabrous,1,1,21,1.946075948,0.124799833,3.778675411
Glabrous,1,1,22,2.338799103,0.125204561,3.539269595
Glabrous,1,2,11,2.049638455,0.111602429,3.261278207
Glabrous,1,2,12,2.05,0.113908767,3.267188307
Glabrous,1,2,13,2.153710846,0.111123505,2.896138968
Glabrous,1,2,14,2.19634249,0.117027679,2.955466211
Glabrous,1,2,15,2.156611443,0.118626896,3.012994227
Glabrous,1,2,16,2.191876433,0.119721298,3.033409579
Glabrous,1,2,17,2.181370635,0.121657776,3.06912813
Glabrous,1,2,18,2.55,0.134275756,3.098828509
Glabrous,1,2,19,2.55,0.139819808,3.136405843
Glabrous,1,2,20,2.3,0.139541706,3.396813285
Glabrous,1,2,21,2.3,0.137181205,3.318183971
Glabrous,1,2,22,2.3,0.122068014,3.3177435
Glabrous,1,3,11,1.8,0.102725072,2.83011201
Glabrous,1,3,12,2.05,0.089508569,2.948063938
Glabrous,1,3,13,2.05,0.098506141,2.833003414
Glabrous,1,3,14,1.8,0.092849921,3.019754581
Glabrous,1,3,15,1.8,0.09679608,2.996195668
Glabrous,1,3,16,1.9350282,0.103007401,2.999495453
Glabrous,1,3,17,1.927363481,0.104400371,3.042845752
Glabrous,1,3,18,1.943170256,0.104092807,3.004458008
Glabrous,1,3,19,1.944634627,0.101536098,2.925517813
Glabrous,1,3,20,2.05,0.103681385,2.964176412
Glabrous,1,3,21,2.05,0.106400133,2.997388064
Glabrous,1,3,22,2.05,0.094077158,2.733797158
