panel_order,panel_label,panel_col,panel_row,section,force_pair,group,n_subjects,mean_pct,sd_pct,sem_pct,median_pct,q1_pct,q3_pct,iqr_pct,whisker_lo_pct,whisker_hi_pct,min_pct,max_pct,statistical_test,contrast,p_value,significance,subject_id,accuracy_pct,mean_same_trial_pct,mean_diff_trial_pct,same_trial_accuracy_pct,diff_trial_accuracy_pct,n_trials
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P28,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P28,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P28,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P28,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P30,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P30,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P30,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P30,91.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P32,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P32,0.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P32,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P32,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P42,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P42,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P42,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P42,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P44,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P44,50.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P44,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P44,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P45,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P45,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P45,41.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P45,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P46,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P46,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P46,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P46,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P47,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P47,8.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P47,8.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P47,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P48,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P48,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P48,41.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P48,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P49,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P49,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P49,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P49,91.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P50,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P50,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P50,50.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P50,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P51,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P51,41.666700,,,,,
