band,pair_label,n_subjects,n_diff,n_same,hits,false_alarms,H,FA,d_prime,criterion
High,10–26,15,360,180,232,36,0.6440443213296398,0.20165745856353592,1.2050058965350217,0.23321265157865076
High,15–26,15,360,180,143,32,0.3975069252077562,0.17955801104972377,0.657245352226925,0.5884281214136227
High,26–60,15,360,180,292,29,0.8102493074792244,0.16298342541436464,1.8610853795728686,0.05172730843786233
Low,0.4–1,15,360,192,245,52,0.6800554016620498,0.27202072538860106,1.0745666397858438,0.06942959356059628
Low,0.6–1,15,360,192,148,60,0.4113573407202216,0.3134715025906736,0.26197930121589796,0.3550444265560659
Low,1–1.4,15,360,192,150,55,0.4168975069252078,0.28756476683937826,0.35067621405621185,0.3851749535562382
Low,1–2,15,360,192,255,48,0.7077562326869806,0.25129533678756477,1.217260719677661,0.06178872236715727
