Subject,pair_label,accuracy
P76,10–26,0.7083333333333334
P76,15–26,0.5833333333333334
P76,26–60,0.75
P77,10–26,0.5416666666666666
P77,15–26,0.4166666666666667
P77,26–60,0.875
P78,10–26,0.625
P78,15–26,0.3333333333333333
P78,26–60,0.8333333333333334
