pair_label,region_group,acc_diff_rc,acc_diff_cr
10–26,On-nail,83.33333333333334,58.333333333333336
10–26,Off-nail,66.66666666666666,33.33333333333333
15–26,On-nail,25.0,50.0
15–26,Off-nail,33.33333333333333,58.333333333333336
26–60,On-nail,66.66666666666666,83.33333333333334
26–60,Off-nail,91.66666666666666,83.33333333333334
