figure,force_g,comparison,test,reference,test_group,shown_on_figure,pooling_method,analysis_cohort,cohort_label,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note
Fig3_future_full_kao(final),0.070000,Periungual: On-touch vs Fingerpad (Kao),"LME (trial-level): Score ~ Group, random intercept ~ participant",Fingerpad (Kao et al. 2022),Periungual: On-touch,False,trial-level (Kao participant / peri subject trials),primary_all,Primary: all included subjects (matches final figures),0.000000,***,-66.641799,-82.269694,-51.013904,5,360,5,30,,74.200000,7.558201,-66.641799,-6.220536,-6.078081,-14.039931,-3.932225,independent Cohen's d on participant/subject means (Periungual − Fingerpad; bootstrap CI),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),0.400000,Periungual: On-touch vs Fingerpad (Kao),"LME (trial-level): Score ~ Group, random intercept ~ participant",Fingerpad (Kao et al. 2022),Periungual: On-touch,False,trial-level (Kao participant / peri subject trials),primary_all,Primary: all included subjects (matches final figures),0.003476,**,-31.403175,-52.465971,-10.340378,5,180,5,15,,94.800000,63.396825,-31.403175,-3.954273,-3.787191,-8.847198,-2.880619,independent Cohen's d on participant/subject means (Periungual − Fingerpad; bootstrap CI),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),1.000000,Periungual: On-touch vs Fingerpad (Kao),"LME (trial-level): Score ~ Group, random intercept ~ participant",Fingerpad (Kao et al. 2022),Periungual: On-touch,False,trial-level (Kao participant / peri subject trials),primary_all,Primary: all included subjects (matches final figures),0.071671,n.s.,-14.799603,-30.903669,1.304463,5,360,5,30,,100.000000,85.200397,-14.799603,-1.974501,-1.929284,-2.637514,-1.575403,independent Cohen's d on participant/subject means (Periungual − Fingerpad; bootstrap CI),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),1.400000,Periungual: On-touch vs Fingerpad (Kao),"LME (trial-level): Score ~ Group, random intercept ~ participant",Fingerpad (Kao et al. 2022),Periungual: On-touch,False,trial-level (Kao participant / peri subject trials),primary_all,Primary: all included subjects (matches final figures),0.991535,n.s.,0.042791,-7.862377,7.947959,5,360,5,30,,96.400000,96.442791,0.042791,0.011568,0.011303,-1.833640,1.788432,independent Cohen's d on participant/subject means (Periungual − Fingerpad; bootstrap CI),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),0.070000,Periungual: On-touch vs Fingerpad (Kao),"LME (trial-level): Score ~ Group, random intercept ~ participant",Fingerpad (Kao et al. 2022),Periungual: On-touch,False,trial-level (Kao participant / peri subject trials),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.000000,***,-66.641799,-82.269694,-51.013904,5,360,5,30,,74.200000,7.558201,-66.641799,-6.220536,-6.078081,-14.039931,-3.932225,independent Cohen's d on participant/subject means (Periungual − Fingerpad; bootstrap CI),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),1.000000,Periungual: On-touch vs Fingerpad (Kao),"LME (trial-level): Score ~ Group, random intercept ~ participant",Fingerpad (Kao et al. 2022),Periungual: On-touch,False,trial-level (Kao participant / peri subject trials),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.071671,n.s.,-14.799603,-30.903669,1.304463,5,360,5,30,,100.000000,85.200397,-14.799603,-1.974501,-1.929284,-2.637514,-1.575403,independent Cohen's d on participant/subject means (Periungual − Fingerpad; bootstrap CI),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),1.400000,Periungual: On-touch vs Fingerpad (Kao),"LME (trial-level): Score ~ Group, random intercept ~ participant",Fingerpad (Kao et al. 2022),Periungual: On-touch,False,trial-level (Kao participant / peri subject trials),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.991535,n.s.,0.042791,-7.862377,7.947959,5,360,5,30,,96.400000,96.442791,0.042791,0.011568,0.011303,-1.833640,1.788432,independent Cohen's d on participant/subject means (Periungual − Fingerpad; bootstrap CI),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),0.400000,Periungual: On-touch vs Fingerpad (Kao),"LME (trial-level): Score ~ Group, random intercept ~ participant",Fingerpad (Kao et al. 2022),Periungual: On-touch,False,trial-level (Kao participant / peri subject trials),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.003476,**,-31.403175,-52.465971,-10.340378,5,180,5,15,,94.800000,63.396825,-31.403175,-3.954273,-3.787191,-8.847198,-2.880619,independent Cohen's d on participant/subject means (Periungual − Fingerpad; bootstrap CI),Kao n=5 unchanged across cohorts
