figure,analysis_cohort,cohort_label,force_g,source,source_raw,n_trials,n_subjects,both_conditions_at_force,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.0700,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",0,0,False,,,,,,,,
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.1600,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",0,0,False,,,,,,,,
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.1600,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",180,15,False,0.0000,25.0000,42.8571,42.8571,0.0000,100.0000,27.5952,24.5081
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.4000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",5,5,True,91.0000,93.0000,100.0000,9.0000,90.0000,100.0000,94.8000,4.8683
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.4000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",180,15,True,50.0000,62.5000,75.0000,25.0000,12.5000,100.0000,63.3968,22.4219
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.6000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",0,0,False,,,,,,,,
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.6000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",180,15,False,60.0000,75.0000,87.5000,27.5000,28.5714,100.0000,72.0933,23.7542
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.0000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",5,5,False,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,100.0000,0.0000
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.0000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",0,0,False,,,,,,,,
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.4000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",5,5,False,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,96.4000,8.0498
Fig3_future_full_kao(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.4000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",0,0,False,,,,,,,,
