pair_label,region_group,H,FA,d_prime,criterion
10–26,Off-nail,0.6239669421487604,0.1885245901639344,1.1992625270411246,0.2837150639881303
10–26,On-nail,0.6239669421487604,0.22131147540983606,1.0836876968658555,0.2259276489004957
15–26,Off-nail,0.4256198347107438,0.12295081967213115,0.9728246056460971,0.6739492352711047
15–26,On-nail,0.359504132231405,0.23770491803278687,0.3539200996973779,0.5367445910615721
26–60,Off-nail,0.8305785123966942,0.09016393442622951,2.2962000880671973,0.19164616535750034
26–60,On-nail,0.78099173553719,0.1885245901639344,1.6588932858310703,0.05389968459315736
