pair_label,region_group,H,FA,d_prime,criterion
0.4–1,Off-nail,0.7191780821917808,0.2804878048780488,1.161794592880426,0.0004957100922426405
0.4–1,On-nail,0.7602739726027398,0.35365853658536583,1.082645907777506,-0.16586118365323455
0.6–1,Off-nail,0.4452054794520548,0.35365853658536583,0.23767755388859463,0.25662299329122107
0.6–1,On-nail,0.3767123287671233,0.2073170731707317,0.5016388112166845,0.5649463083225922
1–1.4,Off-nail,0.3356164383561644,0.4024390243902439,-0.17741757294224297,0.33574777721009874
1–1.4,On-nail,0.4315068493150685,0.32926829268292684,0.26939539296839693,0.30723682990077983
1–2,Off-nail,0.815068493150685,0.23170731707317074,1.6299657731349533,-0.08174710338196484
1–2,On-nail,0.7054794520547946,0.2804878048780488,1.1216191346094373,0.020583439227737144
