pair_label,ground_truth,n_trials,n_resp_same,n_resp_diff,pct_resp_same,pct_resp_diff
10–26,SAME,84,66,18,78.57142857142857,21.428571428571427
10–26,DIFFERENT,168,56,112,33.33333333333333,66.66666666666666
15–26,SAME,84,71,13,84.52380952380952,15.476190476190476
15–26,DIFFERENT,168,100,68,59.523809523809526,40.476190476190474
26–60,SAME,84,71,13,84.52380952380952,15.476190476190476
26–60,DIFFERENT,168,26,142,15.476190476190476,84.52380952380952
