pair_label,ground_truth,n_trials,n_resp_same,n_resp_diff,pct_resp_same,pct_resp_diff
0.4–1,SAME,180,131,49,72.77777777777777,27.22222222222222
0.4–1,DIFFERENT,336,104,232,30.952380952380953,69.04761904761905
0.6–1,SAME,180,127,53,70.55555555555556,29.444444444444446
0.6–1,DIFFERENT,336,199,137,59.226190476190474,40.773809523809526
1–1.4,SAME,180,131,49,72.77777777777777,27.22222222222222
1–1.4,DIFFERENT,336,200,136,59.523809523809526,40.476190476190474
1–2,SAME,180,137,43,76.11111111111111,23.88888888888889
1–2,DIFFERENT,336,100,236,29.761904761904763,70.23809523809523
