pair_label,n_trials,n_resp_same,n_resp_diff,pct_resp_same,pct_resp_diff
0.4–1,192,140,52,72.91666666666666,27.083333333333332
0.6–1,192,132,60,68.75,31.25
1–1.4,192,137,55,71.35416666666666,28.645833333333332
1–2,192,144,48,75.0,25.0
