definition,side_col,force_g,n_subjects,left_mean_pct,left_sd_pct,right_mean_pct,right_sd_pct,diff_mean_pct,diff_median_pct,wilcoxon_W,wilcoxon_p,wilcoxon_sig,paired_t,paired_t_p,paired_t_sig
Grid side (signed offset → C/D),side_grid,1.0,25,78.01121242019074,12.062288570054292,76.46108693508074,10.900784499419359,1.5501254851100066,3.9682539682539755,123.0,0.4404296224458776,n.s.,0.49262461396101725,0.6267545945662734,n.s.
Grid side (signed offset → C/D),side_grid,26.0,25,83.83486302139552,10.880016524697984,78.96193474568088,11.672196280304734,4.872928275714655,5.454545454545453,100.0,0.09573346376419067,n.s.,1.406411149612615,0.17241886460368905,n.s.
Target_Response side (Left/Right),side_target,1.0,25,78.13137330505751,12.121062004632082,76.10970848896545,10.98269074759658,2.0216648160920614,3.9682539682539755,115.5,0.32422396046594515,n.s.,0.6349397566058285,0.5314748589849424,n.s.
Target_Response side (Left/Right),side_target,26.0,25,83.85024763678015,11.001988934568356,78.81807509655806,11.720536751465456,5.032172540222076,5.454545454545453,101.0,0.10139739513397217,n.s.,1.4308481321880646,0.16536643740902457,n.s.
