Region,mean_acc,sem_acc,n_subj
A,0.5428571428571428,0.025753937681885643,25
B,0.5428571428571428,0.03140691894826886,25
C,0.52,0.02083299319450225,25
D,0.5542857142857143,0.027130322920464984,25
E,0.56,0.026302789485031387,25
F,0.5714285714285715,0.019777675864090658,25
