band,pair_label,stronger_median_pct,samediff_median_pct,median_delta_pp
High,10–26,83.33333333333334,62.5,-20.833333333333343
High,15–26,25.0,41.66666666666667,16.66666666666667
High,26–60,75.0,83.33333333333334,8.333333333333343
Low,0.4–1,66.66666666666666,62.5,-4.166666666666657
Low,0.6–1,16.666666666666664,41.66666666666667,25.000000000000007
Low,1–1.4,33.33333333333333,41.66666666666667,8.333333333333343
Low,1–2,75.0,70.83333333333334,-4.166666666666657
