band,pair_label,stronger_median_pct,samediff_median_pct,median_delta_pp
High,10–26,83.33333333333334,72.22222222222221,-11.111111111111128
High,15–26,25.0,50.0,25.0
High,26–60,75.0,83.33333333333334,8.333333333333343
Low,0.4–1,66.66666666666666,68.05555555555556,1.3888888888889
Low,0.6–1,16.666666666666664,50.0,33.333333333333336
Low,1–1.4,33.33333333333333,52.77777777777778,19.44444444444445
Low,1–2,75.0,73.61111111111111,-1.3888888888888857
