Subject,band,pair_label,n_total_trials,n_same_excluded,n_different_kept,n_trials_pair,accuracy_pct
P76,High,10–26,108,36,72,24,70.83333333333334
P76,High,15–26,108,36,72,24,58.333333333333336
P76,High,26–60,108,36,72,24,75.0
P77,High,10–26,108,36,72,24,54.166666666666664
P77,High,15–26,108,36,72,24,41.66666666666667
P77,High,26–60,108,36,72,24,87.5
P78,High,10–26,108,36,72,24,62.5
P78,High,15–26,108,36,72,24,33.33333333333333
P78,High,26–60,108,36,72,24,83.33333333333334
