metric_1,metric_2,n,pearson_r,pearson_p,spearman_r,spearman_p
FD_jnd_pct_ref1,FD_jnd_pct_ref26,26,0.02178397017708887,0.9158789133664378,0.7281122176833779,2.482352681866006e-05
FD_jnd_pct_ref1,SD_jnd_mm_26.0g,18,-0.2794300769373302,0.26145255459449657,-0.31801759529697826,0.19841791944341458
FD_jnd_pct_ref1,SD_jnd_mm_1.0g,18,-0.021515563021743782,0.9324691291018408,-0.20144638848441568,0.42279848711543705
SD_jnd_mm_1.0g,SD_jnd_mm_26.0g,24,0.10605637235500107,0.6218525677022612,0.07321860959699178,0.7338529583309101
FD_jnd_pct_ref26,SD_jnd_mm_1.0g,18,-0.14388315218346923,0.5689507671448939,0.021694226452167842,0.9319095842374321
FD_jnd_pct_ref26,SD_jnd_mm_26.0g,18,-0.25043544338552975,0.316188948409324,-0.010325246600551244,0.9675652164038242
