band,force_pair_g,n_subjects,mean_accuracy,sem,sd,median,min,max
Low,0.4–1,25,0.7233333333333333,0.02081665999466133,0.10408329997330665,0.6666666666666666,0.5,0.9166666666666666
Low,0.6–1,25,0.21666666666666665,0.02307395517477243,0.11536977587386214,0.16666666666666666,0.0,0.5
Low,1–1.4,25,0.3433333333333334,0.03166666666666666,0.15833333333333333,0.3333333333333333,0.08333333333333333,0.6666666666666666
Low,1–2,25,0.7133333333333334,0.03194323669214456,0.15971618346072278,0.75,0.3333333333333333,0.9166666666666666
High,10–26,25,0.8333333333333333,0.02307395517477243,0.11536977587386214,0.8333333333333334,0.5833333333333334,1.0
High,15–26,25,0.25666666666666665,0.02802115602870776,0.1401057801435388,0.25,0.0,0.5833333333333334
High,26–60,25,0.7533333333333334,0.027419917065006814,0.13709958532503408,0.75,0.5,1.0
