band,region_group,n_subjects,n_signal,n_noise,hits,false_alarms,H,FA,d_prime,criterion
High,Off-nail,25,100,200,78,95,0.7772277227722773,0.47512437810945274,0.8252583196258348,-0.35023476206514
High,On-nail,25,100,200,71,85,0.7079207920792079,0.4253731343283582,0.7354870396664583,-0.1795771935184165
Low,Off-nail,25,200,200,106,99,0.5298507462686567,0.49502487562189057,0.08736579315201971,-0.03121178587850753
Low,On-nail,25,200,200,106,116,0.5298507462686567,0.5796019900497512,-0.12598069668705247,-0.13788503079804362
